x,y,type,region,byName,byCode,enName,enCode,ruName,ruCode,byClassicName,byClassicCode,enClassicName,enClassicCode,byLatinName,byLatinCode
10,4,district,Віцебская,Шумілінскі,ШМЛ,Shumilina,SHM,Шумилинский,ШМЛ,Шумілінскі,ШМЛ,Shumilina,SHM,Šumilinski,ŠML
9,12,district,Гомельская,Акцябрскі,АКТ,Aktsyabrski,AKT,Октябрьский,ОКТ,Рудабельскі,РДБ,Rudabyelka,RDB,Rudabielski,RDB
11,15,district,Гомельская,Брагінскі,БРГ,Brahin,BRH,Брагинский,БРГ,Брагінскі,БРГ,Brahin,BRH,Brahinski,BRH
12,13,district,Гомельская,Буда-Кашалёўскі,БДК,Buda-Kashalyova,BDK,Буда-Кошелевский,БДК,Буда-Кашалёўскі,БДК,Buda-Kashalyow,BDK,Buda-Kašaloŭski,BDK
13,13,district,Гомельская,Веткаўскі,ВТК,Vyetka,VTK,Ветковский,ВТК,Веткаўскі,ВТК,Vyetka,VTK,Vietkaŭski,VTK
12,14,district,Гомельская,Гомельскі,ГМЛ,Homyel,HML,Гомельский,ГМЛ,Гомельскі,ГМЛ,Homyel,HML,Homielski,HML
13,14,district,Гомельская,Добрушскі,ДБР,Dobrush,DBR,Добрушский,ДБР,Добрускі,ДБР,Dobrush,DBR,Dobruski,DBR
9,15,district,Гомельская,Ельскі,ЕЛС,Yelʹsk,YEL,Ельский,ЕЛС,Ельскі,ЕЛС,Yelsk,YEL,Jelsk,JEL
11,12,district,Гомельская,Жлобінскі,ЖЛБ,Zhlobin,ZHL,Жлобинский,ЖЛБ,Жлобінскі,ЖЛБ,Zhlobin,ZHL,Žłobinski,ŽLB
8,12,district,Гомельская,Жыткавіцкі,ЖТК,Zhytkavichy,ZHT,Житковичский,ЖТК,Жыткавіцкі,ЖТК,Zhytkavichy,ZHT,Žytkavicki,ŽTK
10,13,district,Гомельская,Калінкавіцкі,КЛН,Kalinkavichy,KLN,Калинковичский,КЛН,Каленкавіцкі,КЛН,Kalyenkavichy,KLN,Kalenkavicki,KLN
